

1,B2118H365290001,01087013,阿克苏塔里木农村商业银行股份有限公司,2023-12-18,2024-02-02,1
2,B2118S365290021,01087015,阿克苏塔里木农村商业银行股份有限公司阿克苏大十字支行,2023-12-18,2024-02-02,1
3,B2118S365290001,01087014,阿克苏塔里木农村商业银行股份有限公司阿克苏支行,2023-12-18,2024-02-02,1
4,B2118S365290058,01087016,阿克苏塔里木农村商业银行股份有限公司温宿恒鑫支行,2023-12-18,2024-02-02,1
5,B1053S351170016,01098947,达州银行股份有限公司宣汉县后街支行,2001-10-31,2024-02-02,1
6,B1430S336100037,00907927,抚州农村商业银行股份有限公司钟岭支行,2006-03-29,2024-02-02,1
7,B1634S351160002,01054929,广安农村商业银行股份有限公司东南支行,1998-01-06,2024-02-02,1
8,B0421S344160010,00959372,广东东源农村商业银行股份有限公司新城支行,1985-05-20,2024-02-02,1
9,B1048S244010094,01092121,广州农村商业银行股份有限公司汉塘支行,2006-09-05,2024-02-02,1
10,B1048U244010021,01092120,广州农村商业银行股份有限公司明星分理处,2006-09-05,2024-02-02,1
11,B1048S244010372,01092119,广州农村商业银行股份有限公司兆丰路支行,2006-09-05,2024-02-02,2
12,B0016S337160001,01053101,恒丰银行股份有限公司滨州滨城支行,2013-12-19,2024-02-02,2
13,B0332S343060023,01069078,湖南华容农村商业银行股份有限公司政务支行,1981-08-20,2024-02-02,2
14,B0564S343100002,00958792,湖南汝城农村商业银行股份有限公司城郊支行,1994-07-15,2024-02-02,2
15,B0346S332100002,01060742,江苏射阳农村商业银行股份有限公司高邮支行,2014-08-21,2024-02-02,2
16,B0792S336070030,00907595,江西银行股份有限公司赣州南水新区支行,2024-01-31,2024-02-02,2
17,B0875S336070039,00907596,江西于都农村商业银行股份有限公司渡江支行,2019-12-03,2024-02-02,2
18,B1400U233020042,01042648,宁波鄞州农村商业银行股份有限公司钢贸城分理处,2003-07-14,2024-02-02,2
19,B1400U233020041,01042649,宁波鄞州农村商业银行股份有限公司云杉路分理处,2003-07-14,2024-02-02,2
20,B0153S233010015,01063805,温州银行股份有限公司杭州余杭支行,2024-01-31,2024-02-02,2
21,B0470S351180089,01099082,雅安农村商业银行股份有限公司花滩支行,2007-05-10,2024-02-02,3
22,B0470S351180085,01099083,雅安农村商业银行股份有限公司同心支行,2007-05-10,2024-02-02,3
23,B0011S335050001,00898739,招商银行股份有限公司泉州丰泽支行,2006-08-14,2024-02-02,3
24,S0055H333060001,01063521,浙江上虞富民村镇银行股份有限公司,2014-05-13,2024-02-02,3
25,B0001S344120032,00959985,中国工商银行股份有限公司四会翡翠支行,1987-12-01,2024-02-02,3
26,B0007S252010004,01095507,中国光大银行股份有限公司贵阳花果园小微支行,2014-09-30,2024-02-02,3
27,B0004S334080026,01064420,中国建设银行股份有限公司安庆皖江支行,1993-04-16,2024-02-02,3
28,B0004S212000227,00808724,中国建设银行股份有限公司天津中山门支行,1989-06-14,2024-02-02,3
29,B0004S341170029,01066629,中国建设银行股份有限公司正阳江国大道支行,2024-02-01,2024-02-02,3
30,B0002U352030061,01095573,中国农业银行股份有限公司务川东门分理处,1987-01-01,2024-02-02,3
31,B0002S352030011,01095574,中国农业银行股份有限公司务川仡佬族苗族自治县支行,1979-09-01,2024-02-02,4
32,B0003S344180016,01091501,中国银行股份有限公司清远清飞路支行,1994-04-25,2024-02-02,4
33,B0018A351080089,01053811,中国邮政储蓄银行股份有限公司苍溪县龙王镇营业所,2024-02-01,2024-02-02,4
34,B0018A351080090,01053812,中国邮政储蓄银行股份有限公司广元市卫子镇营业所,2024-02-01,2024-02-02,4
35,B0018A214010108,01058216,中国邮政储蓄银行股份有限公司太原市文兴路营业所,2013-05-21,2024-02-02,4
36,B0018A342060157,00943730,中国邮政储蓄银行股份有限公司襄阳市尹集营业所,2024-01-31,2024-02-02,4
37,B0018A262010054,01029570,中国邮政储蓄银行股份有限公司榆中县新营营业所,1996-08-30,2024-02-02,4
38,B0018A313020106,01056705,中国邮政储蓄银行股份有限公司遵化市马兰峪镇营业所,2007-12-25,2024-02-02,4
39,B1225S243010141,01069669,长沙农村商业银行股份有限公司新科支行,1989-05-19,2024-02-01,4
40,B1892U344150001,00969433,广东海丰农村商业银行股份有限公司红城大道分理处,1989-04-18,2024-02-01,4
41,B1878S344080001,01090342,广东徐闻农村商业银行股份有限公司龙塘支行,2009-06-05,2024-02-01,5
42,B1105S345030104,01107746,桂林银行股份有限公司全州中心路小微支行,2020-10-23,2024-02-01,5
43,B1693U313040018,00822824,河北大名农村商业银行股份有限公司三里店分理处,2007-05-14,2024-02-01,5
44,B0983S343030004,01068852,湖南湘潭天易农村商业银行股份有限公司河口支行,1956-03-01,2024-02-01,5
45,B0008S221010008,01102696,华夏银行股份有限公司沈阳浑南支行,2002-06-20,2024-02-01,5
46,B0162S244030002,01048420,徽商银行股份有限公司深圳碧海湾支行,2020-04-29,2024-02-01,5
47,B0162S244030007,01048421,徽商银行股份有限公司深圳龙华支行,2020-04-29,2024-02-01,5
48,B0257U322020013,01050042,吉林环城农村商业银行股份有限公司吉林市永庆分理处,1998-09-01,2024-02-01,5
49,B0302S322050019,01049090,吉林银行股份有限公司通化宏达支行,1993-09-28,2024-02-01,5
50,B0556S336090029,00907872,江西高安农村商业银行股份有限公司鹏程支行,1993-12-21,2024-02-01,5
51,B0556S336090032,00907871,江西高安农村商业银行股份有限公司瑞兴支行,1992-11-10,2024-02-01,6
52,B0005L332050006,01061147,交通银行股份有限公司太平洋信用卡中心苏州分中心,2013-02-19,2024-02-01,6
53,B0348S336070021,00907593,九江银行股份有限公司赣州南康宝林路社区支行,2017-12-19,2024-02-01,6
54,B0014S253010032,01096426,平安银行股份有限公司昆明盘龙支行,2014-12-22,2024-02-01,6
55,B2027S214010057,01058215,山西银行股份有限公司太原都司街小微支行,2016-08-15,2024-02-01,6
56,B0015S336080001,01065002,上海浦东发展银行股份有限公司吉安吉州支行,2024-01-31,2024-02-01,6
57,B0015S221010002,01102698,上海浦东发展银行股份有限公司沈阳沈营大街支行,2004-01-13,2024-02-01,6
58,B0238S334020025,01064532,芜湖扬子农村商业银行股份有限公司无为支行,2011-09-29,2024-02-01,6
59,B0128S221020004,01039406,营口银行股份有限公司大连黄河路支行,2013-03-18,2024-02-01,6
60,B0011S221010051,01102699,招商银行股份有限公司沈阳三好桥支行,2024-02-01,2024-02-01,6
61,B0450U333030001,01063396,浙江温州瓯海农村商业银行股份有限公司茶山支行高教园区分理处,2005-06-15,2024-02-01,7
62,B0010S332060004,01060873,浙商银行股份有限公司如东支行,2024-01-31,2024-02-01,7
63,B0001S243010114,01069668,中国工商银行股份有限公司长沙汽车南站支行,1979-05-05,2024-02-01,7
64,B0001S246010042,00984958,中国工商银行股份有限公司海口大英山支行,1984-06-15,2024-02-01,7
65,B0001S332060104,01060874,中国工商银行股份有限公司南通志浩支行,2012-11-12,2024-02-01,7
66,B0001S353030035,01019841,中国工商银行股份有限公司曲靖靖宁支行,1988-09-07,2024-02-01,7
67,B0001S342050031,00942878,中国工商银行股份有限公司宜都陆城支行,1995-10-30,2024-02-01,7
68,B0007S211000077,00805582,中国光大银行股份有限公司北京龙岗社区支行,2014-09-04,2024-02-01,7
69,B0007S211000134,00805583,中国光大银行股份有限公司北京山水文园社区支行,2024-02-01,2024-02-01,7
